Number,AreaName,Name,NomkV,Vpu,kV,Vangle,LoadMW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneName,ZoneNumber,Substation Longitude,Substation Latitude
10293,Far West,MIDLAND 3 0,115.0,1.00242,115.278,-24.86,83.18,23.57,,,40.19,0,0,1,Far West Texas,9,-102.072464,31.98322387
10303,Far West,ALPINE 0,115.0,1.01223,116.406,-13.41,24.63,6.98,,,0.0,0,0,1,Far West Texas,9,-103.21336,29.7911598
10313,Far West,FORT DAVIS 0,115.0,1.01219,116.402,-17.67,9.25,2.62,,,,0,0,1,Far West Texas,9,-103.750065,30.99571163
10323,Far West,MCCAMEY 1 0,115.0,1.00066,115.076,-12.28,,,,,,0,0,1,Far West Texas,9,-102.2201,31.19842285
10333,Far West,MCCAMEY 1 1,230.0,1.01675,233.853,-16.9,,,208.5,-40.03,51.69,0,0,1,Far West Texas,9,-102.2309,31.19842285
10343,Far West,BIG SPRING 4 0,115.0,1.00453,115.521,-14.32,,,,,,0,0,1,Far West Texas,9,-101.293637,31.98075498
10353,Far West,BIG SPRING 4 1,13.8,1.0,13.8,-11.03,,,67.5,-6.87,,0,0,1,Far West Texas,9,-101.299037,31.97754863
10363,Far West,CRANE 0,115.0,0.99762,114.727,-12.53,13.6,3.85,,,,0,0,1,Far West Texas,9,-102.587253,31.17764834
10373,Far West,ODESSA 5 0,115.0,0.9745,112.068,-22.54,102.24,28.97,,,,0,0,1,Far West Texas,9,-102.46509,31.78997862
10383,Far West,FORT STOCKTON 1 0,115.0,1.01657,116.905,-7.65,,,,,,0,0,1,Far West Texas,9,-102.496808,30.75865489
10393,Far West,FORT STOCKTON 1 1,22.0,1.0,22.0,-2.26,,,110.63,-16.65,,0,0,1,Far West Texas,9,-102.502208,30.75231282
10403,Far West,ANDREWS 0,115.0,0.99401,114.312,-20.48,44.36,12.57,,,,0,0,1,Far West Texas,9,-102.688303,32.32660332
10413,Far West,FORSAN 0,115.0,1.00177,115.204,-15.11,,,,,,0,0,1,Far West Texas,9,-101.3896,32.12860609
10423,Far West,FORSAN 1,13.8,1.00177,13.824,-15.11,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.395,32.12692929
10433,Far West,FORSAN 2,13.8,1.0,13.8,-11.86,,,44.1,-1.16,,0,0,1,Far West Texas,9,-101.395,32.1238805
10443,Far West,BIG LAKE 0,115.0,1.00676,115.777,-25.96,14.68,4.16,,,,0,0,1,Far West Texas,9,-101.163783,31.26331971
10453,Far West,MIDLAND 5 0,115.0,0.97743,112.404,-24.45,98.56,27.93,,,,0,0,1,Far West Texas,9,-102.19266,32.04292423
10463,Far West,OZONA 0,115.0,1.01763,117.028,-22.49,11.08,3.14,,,12.43,0,0,1,Far West Texas,9,-101.322239,30.56476932
10473,Far West,MONAHANS 1 0,115.0,1.00525,115.604,-13.35,,,,,,0,0,1,Far West Texas,9,-102.9273,31.56396404
10483,Far West,MONAHANS 1 1,18.0,1.00525,18.095,-13.35,,,0.0,0.0,,0,0,1,Far West Texas,9,-102.9219,31.56381064
10493,Far West,MONAHANS 1 2,18.0,1.00525,18.095,-13.35,,,0.0,0.0,,0,0,1,Far West Texas,9,-102.9219,31.56074319
10503,Far West,MONAHANS 1 3,18.0,1.0,18.0,-8.28,,,89.15,-4.14,,0,0,1,Far West Texas,9,-102.9219,31.55767563
10513,Far West,MONAHANS 1 4,18.0,1.0,18.0,-6.81,,,89.15,-2.88,,0,0,1,Far West Texas,9,-102.9219,31.55460797
10523,Far West,MONAHANS 1 5,18.0,1.0,18.0,-9.13,,,89.15,-7.04,,0,0,1,Far West Texas,9,-102.9219,31.55154021
10533,Far West,MONAHANS 1 6,230.0,1.01741,234.004,-17.34,,,0.0,0.0,,0,0,1,Far West Texas,9,-102.9453,31.57469931
10543,Far West,STANTON 0,115.0,1.00368,115.424,-22.29,14.99,4.25,,,,0,0,1,Far West Texas,9,-101.745488,32.47918945
10553,Far West,ODONNELL 0,115.0,1.0014,115.162,-18.13,3.98,1.13,,,,0,0,1,Far West Texas,9,-101.755414,32.91794441
10563,Far West,LENORAH 0,115.0,1.02,117.3,-21.82,,,,,62.39,0,0,1,Far West Texas,9,-101.8277,32.22007318
10573,Far West,LENORAH 1,18.0,1.02,18.36,-21.82,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.8331,32.21230649
10583,Far West,IRAAN 3 0,115.0,1.01937,117.228,-11.22,13.46,3.81,,,,0,0,1,Far West Texas,9,-101.9118,30.86925114
10593,Far West,IRAAN 3 1,22.0,1.01937,22.426,-11.22,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.9172,30.86446146
10603,Far West,IRAAN 3 2,22.0,1.01937,22.426,-11.22,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.9172,30.86137123
10613,Far West,BIG SPRING 6 0,115.0,1.00656,115.754,-17.22,,,,,,0,0,1,Far West Texas,9,-101.413436,32.25948369
10623,Far West,BIG SPRING 6 1,13.8,1.00656,13.89,-17.22,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.418836,32.2562871
10633,Far West,BIG SPRING 6 2,13.8,1.00656,13.89,-17.22,,,0.0,0.0,,0,0,1,Far West Texas,9,-101.418836,32.25324264
10643,Far West,ODESSA 3 0,115.0,0.97203,111.784,-24.15,123.76,35.07,,,,0,0,1,Far West Texas,9,-102.303423,31.99044311
10653,Far West,BIG SPRING 3 0,115.0,1.00426,115.49,-14.93,,,,,,0,0,1,Far West Texas,9,-101.442385,32.09014874
10663,Far West,BIG SPRING 3 1,13.8,1.0,13.8,-7.4,,,106.88,-0.83,,0,0,1,Far West Texas,9,-101.447785,32.08694622
10673,Far West,BIG SPRING 7 0,115.0,0.9986,114.838,-15.68,101.55,28.77,,,,0,0,1,Far West Texas,9,-101.356434,32.09223699
10683,Far West,MIDLAND 1 0,115.0,0.9868,113.482,-16.44,59.4,16.83,,,,0,0,1,Far West Texas,9,-101.909007,31.50842077
10693,Far West,IRAAN 1 0,115.0,1.02256,117.594,-8.73,,,,,,0,0,1,Far West Texas,9,-102.0777,30.90390094
10703,Far West,IRAAN 1 1,13.8,1.04,14.352,-4.23,,,120.38,25.49,,0,0,1,Far West Texas,9,-102.0831,30.89756846
10713,Far West,ODESSA 1 0,115.0,0.98703,113.508,-21.47,91.46,25.91,,,,0,0,1,Far West Texas,9,-102.3084,31.80512313
10723,Far West,ODESSA 1 1,18.0,1.01,18.18,-12.11,,,191.59,30.82,,0,0,1,Far West Texas,9,-102.3138,31.80802952
10733,Far West,ODESSA 1 2,18.0,1.01,18.18,-5.68,,,191.59,35.97,,0,0,1,Far West Texas,9,-102.3138,31.80497012
10743,Far West,ODESSA 1 3,18.0,1.01,18.18,-7.74,,,191.59,32.68,,0,0,1,Far West Texas,9,-102.3138,31.80191062
10753,Far West,ODESSA 1 4,18.0,1.01,18.18,-10.51,,,191.59,34.38,,0,0,1,Far West Texas,9,-102.3138,31.79885102
10763,Far West,ODESSA 1 5,18.0,0.98703,17.766,-21.47,,,0.0,0.0,,0,0,1,Far West Texas,9,-102.3138,31.79579132
10773,Far West,ODESSA 1 6,18.0,0.98703,17.766,-21.47,,,0.0,0.0,,0,0,1,Far West Texas,9,-102.3138,31.79273152
10783,Far West,ODESSA 1 7,18.0,1.01,18.18,-11.02,,,95.23,18.16,,0,0,1,Far West Texas,9,-102.3138,31.78967161
10793,Far West,ODESSA 1 8,500.0,1.01621,508.107,-38.58,,,95.23,-10.6,,0,0,1,Far West Texas,9,-102.3084,31.83112471
10803,Far West,ODESSA 1 9,18.0,1.01,18.18,-10.45,,,95.23,14.9,,0,0,1,Far West Texas,9,-102.3138,31.78661161
10813,Far West,ODESSA 1 10,230.0,1.02,234.6,-18.69,,,0.0,0.0,59.2,0,0,1,Far West Texas,9,-102.2904,31.82959541
10823,Far West,FORT STOCKTON 2 0,115.0,1.01941,117.232,-5.91,,,112.5,-21.6,,0,0,1,Far West Texas,9,-102.346628,30.79799549
10833,Far West,FORT STOCKTON 3 0,115.0,1.01886,117.169,-9.89,39.95,11.32,,,27.15,0,0,1,Far West Texas,9,-102.781792,30.73662959
10843,Far West,BIG SPRING 2 0,115.0,1.02252,117.59,-16.47,,,86.62,24.6,,0,0,1,Far West Texas,9,-101.2893,31.92540654
10853,Far West,KERMIT 0,115.0,1.00899,116.033,-15.34,21.3,6.03,,,,0,0,1,Far West Texas,9,-103.129992,31.68552974
10863,Far West,PECOS 0,115.0,1.01537,116.768,-17.59,39.67,11.24,,,30.93,0,0,1,Far West Texas,9,-103.590914,31.79436806
10873,Far West,SHEFFIELD 0,115.0,1.02,117.3,-16.13,0.91,0.26,,,9.01,0,0,1,Far West Texas,9,-101.77553,30.58460215
10883,Far West,MCCAMEY 2 0,115.0,1.0,115.0,-11.88,,,56.25,-0.29,,0,0,1,Far West Texas,9,-102.2163,31.12995569
10893,Far West,LAMESA 0,115.0,0.98063,112.773,-21.31,40.6,11.5,,,,0,0,1,Far West Texas,9,-102.124506,32.92058268
10903,Far West,GOLDSMITH 0,115.0,1.02,117.3,-16.15,,,141.37,38.7,,0,0,1,Far West Texas,9,-102.819333,31.9843134
10913,Far West,RALLS 2 0,161.0,1.02483,164.998,-31.02,11.62,3.29,,,,0,0,1,Far West Texas,9,-101.522037,33.64818271
20013,North,PARIS 3 0,161.0,1.00175,161.282,-59.98,48.36,13.7,,,,0,0,2,Red River,11,-95.335733,33.67488174
20023,North,SAVOY 0,500.0,1.01106,505.53,-61.57,,,,,,0,0,2,Red River,11,-96.349605,33.61465304
20033,North,SAVOY 1,161.0,1.00934,162.503,-63.83,,,,,,0,0,2,Red River,11,-96.331605,33.61914992
20043,North,SAVOY 2,13.8,1.01106,13.953,-61.57,,,0.0,0.0,,0,0,2,Red River,11,-96.355005,33.61450313
20053,North,SAVOY 3,13.8,1.01106,13.953,-61.57,,,0.0,0.0,,0,0,2,Red River,11,-96.355005,33.61150506
20063,North,SAVOY 4,13.8,1.01106,13.953,-61.57,,,0.0,0.0,,0,0,2,Red River,11,-96.355005,33.60850689
20073,North,HONEY GROVE 0,161.0,1.00251,161.404,-59.75,9.54,2.7,,,,0,0,2,Red River,11,-95.891109,33.60617257
20083,North,MEMPHIS 0,161.0,1.01613,163.597,-32.83,8.06,2.28,,,,0,0,2,Panhandle,10,-100.503868,34.84839528
20093,North,IOWA PARK 0,161.0,1.02,164.22,-45.22,39.14,11.09,,,118.24,0,0,2,Red River,11,-98.712096,33.96284721
20103,North,VERNON 2 0,161.0,1.02,164.22,-36.41,56.81,16.09,,,23.3,0,0,2,Panhandle,10,-99.764497,33.88636572
20113,North,PANHANDLE 2 0,500.0,1.03887,519.435,-32.1,,,,,,0,0,2,Panhandle,10,-101.292833,35.22951153
20123,North,PANHANDLE 2 1,161.0,1.0271,165.363,-29.87,,,,,,0,0,2,Panhandle,10,-101.274833,35.22657083
20133,North,PANHANDLE 2 2,18.0,1.03051,18.549,-29.76,,,150.45,-28.89,,0,0,2,Panhandle,10,-101.298233,35.22789415
20143,North,CHILDRESS 0,161.0,1.01449,163.333,-33.41,25.43,7.2,,,,0,0,2,Panhandle,10,-100.800848,34.43831934
20153,North,FORESTBURG 0,161.0,1.00608,161.979,-63.29,4.69,1.33,,,,0,0,2,Red River,11,-97.436189,33.46260762
20163,North,SHERMAN 3 0,161.0,1.00602,161.969,-69.95,69.27,19.63,,,,0,0,2,Red River,11,-96.758394,33.61862987
20173,North,PANHANDLE 4 0,500.0,1.02839,514.196,-32.25,,,,,-211.52,0,0,2,Panhandle,10,-101.235056,35.41723225
20183,North,PANHANDLE 4 1,161.0,1.02649,165.265,-31.46,,,,,,0,0,2,Panhandle,10,-101.217056,35.42016602
20193,North,PANHANDLE 4 2,20.0,1.02839,20.568,-32.25,,,0.0,0.0,,0,0,2,Panhandle,10,-101.240456,35.41415166
20203,North,WICHITA FALLS 6 0,161.0,0.99517,160.223,-44.89,47.97,13.59,,,,0,0,2,Red River,11,-98.514064,33.93482401
20213,North,PARIS 2 0,500.0,1.01387,506.937,-56.7,,,,,,0,0,2,Red River,11,-95.5397,33.68481859
20223,North,PARIS 2 1,161.0,1.01001,162.612,-58.64,11.56,3.28,,,,0,0,2,Red River,11,-95.5217,33.68631636
20233,North,PARIS 2 2,13.8,1.02,14.076,-55.14,,,83.1,18.16,,0,0,2,Red River,11,-95.5451,33.683171
20243,North,PARIS 2 3,13.8,1.02,14.076,-54.47,,,166.2,26.53,,0,0,2,Red River,11,-95.5451,33.68017533
20253,North,WICHITA FALLS 4 0,161.0,0.99407,160.046,-44.12,39.62,11.23,,,,0,0,2,Red River,11,-98.482046,33.85554667
20263,North,WHEELER 0,161.0,1.02648,165.263,-31.08,18.57,5.26,,,,0,0,2,Panhandle,10,-100.756905,35.82054691
20273,North,DEPORT 0,161.0,1.0022,161.354,-60.41,3.55,1.01,,,,0,0,2,Red River,11,-95.311088,33.47363777
20283,North,WICHITA FALLS 3 0,161.0,0.99459,160.129,-47.25,14.24,4.03,,,,0,0,2,Red River,11,-98.379757,33.99433708
20293,North,SILVERTON 0,161.0,1.02005,164.228,-32.78,3.2,0.91,,,,0,0,2,Panhandle,10,-101.278161,34.44857243
20303,North,BONHAM 0,161.0,0.98837,159.127,-64.04,47.15,13.36,,,,0,0,2,Red River,11,-96.231654,33.6993263
20313,North,MATADOR 0,161.0,1.02046,164.294,-29.64,5.77,1.63,,,,0,0,2,Panhandle,10,-100.375217,33.70020205
20323,North,ARTHUR CITY 0,161.0,1.00454,161.73,-59.15,3.35,0.95,,,,0,0,2,Red River,11,-95.640137,33.84889897
20333,North,LEONARD 0,161.0,0.99087,159.53,-65.55,13.57,3.85,,,,0,0,2,Red River,11,-96.170163,33.43242748
20343,North,GORDONVILLE 0,161.0,1.00462,161.744,-69.28,5.34,1.51,,,,0,0,2,Red River,11,-96.830764,33.82196015
20353,North,KNOX CITY 0,161.0,1.01521,163.448,-30.56,4.68,1.33,,,,0,0,2,Panhandle,10,-99.844667,33.42282349
20363,North,WICHITA FALLS 7 0,161.0,0.99894,160.829,-44.48,41.59,11.78,,,,0,0,2,Red River,11,-98.53467,33.88597587
20373,North,LINDSAY 0,161.0,1.01668,163.685,-63.63,3.5,0.99,,,,0,0,2,Red River,11,-97.301834,33.60536149
20383,North,ECTOR 0,161.0,1.00633,162.019,-64.3,2.6,0.74,,,,0,0,2,Red River,11,-96.273897,33.54451914
20393,North,SUNSET 0,161.0,0.99125,159.592,-60.67,5.56,1.58,,,,0,0,2,Red River,11,-97.742818,33.44547807
20403,North,CLARKSVILLE 0,161.0,1.00744,162.198,-59.31,15.9,4.51,,,,0,0,2,Red River,11,-94.988258,33.65257524
20413,North,PANHANDLE 3 0,161.0,1.02802,165.512,-27.69,,,,,,0,0,2,Panhandle,10,-101.569572,35.37576497
20423,North,PANHANDLE 3 1,18.0,1.01943,18.35,-25.11,,,59.7,-11.46,,0,0,2,Panhandle,10,-101.574972,35.37268279
20433,North,SADLER 0,161.0,1.00505,161.812,-69.59,4.24,1.2,,,,0,0,2,Red River,11,-96.830543,33.7289924
20443,North,WHITESBORO 0,161.0,1.01306,163.102,-65.38,27.4,7.76,,,,0,0,2,Red River,11,-96.927121,33.73491202
20453,North,SHEPPARD AFB 0,161.0,0.99445,160.106,-45.42,22.61,6.4,,,,0,0,2,Red River,11,-98.500016,33.96653735
20463,North,POTTSBORO 0,161.0,1.00456,161.734,-68.9,22.13,6.27,,,,0,0,2,Red River,11,-96.716989,33.79174198
20473,North,BELLS 0,161.0,1.0079,162.272,-64.73,14.96,4.24,,,,0,0,2,Red River,11,-96.418874,33.61465145
20483,North,CROSBYTON 0,161.0,1.0237,164.816,-31.71,6.42,1.82,,,,0,0,2,Panhandle,10,-100.981114,33.76400484
20493,North,ELECTRA 0,161.0,1.01776,163.859,-40.95,11.57,3.28,,,,0,0,2,Panhandle,10,-99.097624,34.12125771
20503,North,PATTONVILLE 0,161.0,0.99419,160.065,-63.24,3.66,1.04,,,,0,0,2,Red River,11,-95.474203,33.39323341
20513,North,HENRIETTA 0,161.0,0.98955,159.318,-54.14,17.85,5.06,,,,0,0,2,Red River,11,-98.193251,33.74951055
20523,North,PANHANDLE 6 0,161.0,1.01744,163.809,-31.96,24.84,7.04,,,,0,0,2,Panhandle,10,-100.985549,34.89190197
20533,North,BOWIE 0,161.0,0.99106,159.561,-59.36,29.13,8.25,,,,0,0,2,Red River,11,-97.94712,33.51156771
20543,North,WICHITA FALLS 1 0,500.0,0.99778,498.891,-43.13,,,,,,0,0,2,Red River,11,-98.4751,33.90134886
20553,North,WICHITA FALLS 1 1,161.0,0.99733,160.57,-43.96,49.62,14.06,,,,0,0,2,Red River,11,-98.4571,33.90284284
20563,North,WICHITA FALLS 1 2,18.0,0.99778,17.96,-43.13,,,0.0,0.0,,0,0,2,Red River,11,-98.4805,33.89970544
20573,North,WICHITA FALLS 1 3,18.0,0.99,17.82,-38.73,,,573.57,-47.07,,0,0,2,Red River,11,-98.4805,33.89671733
20583,North,WHITE DEER 0,161.0,1.02836,165.566,-27.26,,,,,,0,0,2,Panhandle,10,-101.2349,35.46717281
20593,North,WHITE DEER 1,13.8,1.01836,14.053,-23.91,,,60.0,-11.52,,0,0,2,Panhandle,10,-101.2403,35.46262806
20603,North,ROXTON 0,161.0,0.9974,160.582,-61.95,3.8,1.08,,,,0,0,2,Red River,11,-95.800701,33.56782457
20613,North,VERNON 1 0,161.0,1.02118,164.409,-37.43,,,,,,0,0,2,Panhandle,10,-99.355722,34.27958929
20623,North,VERNON 1 1,18.0,1.02,18.36,-35.13,,,101.55,-4.84,,0,0,2,Panhandle,10,-99.361122,34.27646581
20633,North,DENISON 2 0,161.0,1.00606,161.976,-68.26,65.62,18.59,,,40.49,0,0,2,Red River,11,-96.595061,33.76180684
20643,North,SUMNER 0,161.0,1.00311,161.5,-60.28,10.05,2.85,,,,0,0,2,Red River,11,-95.735327,33.73625516
20653,North,GAINESVILLE 0,161.0,1.02,164.22,-65.6,78.36,22.2,,,98.82,0,0,2,Red River,11,-97.16735,33.65109506
20663,North,ASPERMONT 0,161.0,1.01444,163.324,-27.63,7.11,2.02,,,,0,0,2,Panhandle,10,-100.236133,33.1725181
20673,North,WICHITA FALLS 5 0,161.0,0.99236,159.769,-44.05,53.97,15.29,,,,0,0,2,Red River,11,-98.50084,33.79010981
20683,North,WINDTHORST 0,161.0,0.999,160.838,-42.02,5.76,1.63,,,,0,0,2,Red River,11,-98.448627,33.50362288
20693,North,HOWE 0,161.0,1.02,164.22,-69.12,21.92,6.21,,,115.17,0,0,2,Red River,11,-96.738645,33.44656273
20703,North,ARCHER 2 0,161.0,1.00108,161.173,-41.6,,,,,,0,0,2,Red River,11,-98.572944,33.48254757
20713,North,ARCHER 2 1,18.0,1.0,18.0,-37.92,,,112.5,-0.82,,0,0,2,Red River,11,-98.578344,33.47939478
20723,North,COLLINSVILLE 0,161.0,1.01488,163.395,-67.24,9.71,2.75,,,,0,0,2,Red River,11,-96.897575,33.52870349
20733,North,JAYTON 0,161.0,1.01551,163.498,-25.11,,,,,,0,0,2,Panhandle,10,-100.506167,32.95764019
20743,North,JAYTON 1,115.0,1.00585,115.673,-23.24,,,,,,0,0,2,Panhandle,10,-100.488167,32.96066079
20753,North,JAYTON 2,115.0,1.00585,115.673,-23.24,,,,,,0,0,2,Panhandle,10,-100.488167,32.95310907
20763,North,JAYTON 3,24.0,1.02078,24.499,-24.2,,,22.5,6.39,,0,0,2,Panhandle,10,-100.511567,32.95295803
20773,North,MUENSTER 1 0,161.0,1.0179,163.881,-61.2,,,,,,0,0,2,Red River,11,-97.419406,33.72252678
20783,North,MUENSTER 1 1,13.8,1.02,14.076,-57.88,,,84.38,3.09,,0,0,2,Red River,11,-97.424806,33.71938275
20793,North,PADUCAH 0,161.0,1.0223,164.59,-34.63,4.48,1.27,,,,0,0,2,Panhandle,10,-100.278247,33.98536733
20803,North,NOCONA 0,161.0,0.99462,160.134,-57.5,16.93,4.8,,,,0,0,2,Red River,11,-97.954802,33.78260212
20813,North,DODD CITY 0,161.0,1.00094,161.151,-65.11,4.46,1.26,,,,0,0,2,Red River,11,-96.063156,33.60654461
20823,North,WICHITA FALLS 2 0,161.0,1.00287,161.462,-44.83,59.03,16.73,,,,0,0,2,Red River,11,-98.5804,33.84904684
20833,North,WICHITA FALLS 2 1,20.0,1.01759,20.352,-43.25,,,19.94,10.18,,0,0,2,Red River,11,-98.5858,33.84889734
20843,North,WICHITA FALLS 2 2,20.0,1.00287,20.057,-44.83,,,0.0,0.0,,0,0,2,Red River,11,-98.5858,33.84590745
20853,North,WICHITA FALLS 2 3,20.0,1.00287,20.057,-44.83,,,0.0,0.0,,0,0,2,Red River,11,-98.5858,33.84291746
20863,North,MONTAGUE 0,161.0,0.99245,159.784,-59.47,2.19,0.62,,,,0,0,2,Red River,11,-97.678873,33.61791079
20873,North,SPUR 0,161.0,1.01738,163.798,-27.47,7.9,2.24,,,,0,0,2,Panhandle,10,-100.705732,33.33203007
20883,North,ARCHER 1 0,161.0,1.00007,161.011,-41.72,,,,,,0,0,2,Red River,11,-98.491,33.48476984
20893,North,ARCHER 1 1,24.0,1.0,24.0,-38.11,,,50.7,0.48,,0,0,2,Red River,11,-98.4964,33.48161713
20903,North,ANNONA 0,161.0,1.00252,161.406,-61.03,2.42,0.69,,,,0,0,2,Red River,11,-94.881845,33.48771319
20913,North,SEYMOUR 0,161.0,1.01628,163.621,-33.98,17.05,4.83,,,,0,0,2,Panhandle,10,-99.234765,33.61215119
20923,North,DENISON 1 0,161.0,1.00542,161.873,-66.57,24.11,6.83,,,,0,0,2,Red River,11,-96.461794,33.71814327
20933,North,PANHANDLE 5 0,161.0,1.02727,165.391,-30.62,,,,,,0,0,2,Panhandle,10,-101.531,35.33855409
20943,North,PANHANDLE 5 1,13.8,1.02727,14.176,-30.62,,,0.0,0.0,,0,0,2,Panhandle,10,-101.5364,35.33693888
20953,North,PANHANDLE 5 2,13.8,1.02727,14.176,-30.62,,,0.0,0.0,,0,0,2,Panhandle,10,-101.5364,35.33400207
20963,North,RALLS 1 0,500.0,1.02,510.0,-27.84,,,,,-127.27,0,0,2,Panhandle,10,-101.372,33.650623
20973,North,RALLS 1 1,230.0,1.01927,234.431,-27.28,,,,,,0,0,2,Panhandle,10,-101.354,33.65212137
20983,North,RALLS 1 2,161.0,1.02565,165.129,-30.43,,,,,,0,0,2,Panhandle,10,-101.354,33.64462928
20993,North,RALLS 1 3,18.0,1.02,18.36,-27.7,,,7.5,-0.05,,0,0,2,Panhandle,10,-101.3774,33.65047316
21003,North,RALLS 1 4,18.0,1.02,18.36,-25.22,,,112.5,0.58,,0,0,2,Panhandle,10,-101.3774,33.64747635
21013,North,SHERMAN 1 0,500.0,1.01054,505.27,-62.67,,,,,,0,0,2,Red River,11,-96.599893,33.56907591
21023,North,SHERMAN 1 1,161.0,1.01059,162.705,-64.12,,,,,,0,0,2,Red River,11,-96.581893,33.57207544
21033,North,SHERMAN 1 2,20.0,1.01054,20.211,-62.67,,,0.0,0.0,,0,0,2,Red River,11,-96.605293,33.56892592
21043,North,SHERMAN 1 3,20.0,1.01054,20.211,-62.67,,,0.0,0.0,,0,0,2,Red River,11,-96.605293,33.56592627
21053,North,SHERMAN 1 4,20.0,1.01054,20.211,-62.67,,,0.0,0.0,,0,0,2,Red River,11,-96.605293,33.56292651
