BusNum,BusName,AreaName,ID,Status,AGC,MW,MWMin,MWMax,CostModel,FixedCostInd,FixedCostDep,CubicB,CubicC,CubicD,FuelCost,VariableOM,FuelType,UnitType,CostShift,CostMultiplier,BidMW:0,BidMWHr:0,BidMW:1,BidMWHr:1,BidMW:2,BidMWHr:2,BidMW:3,BidMWHr:3,BidMW:4,BidMWHr:4,BidMW:5,BidMWHr:5,BidMW:6,BidMWHr:6,BidMW:7,BidMWHr:7,BidMW:8,BidMWHr:8,BidMW:9,BidMWHr:9,BidMW:10,BidMWHr:10,BidMW:11,BidMWHr:11,BidMW:12,BidMWHr:12,BidMW:13,BidMWHr:13,BidMW:14,BidMWHr:14,BidMW:15,BidMWHr:15,BidMW:16,BidMWHr:16,BidMW:17,BidMWHr:17,BidMW:18,BidMWHr:18,BidMW:19,BidMWHr:19,Heat Rate MBTU/MWH
1050,MONAHANS 1 3,Far West,1,Closed,YES,89.15,26.82,89.4,Cubic,734.1,0,4.691,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,26.82,17.56,39.34,17.6,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4574179421805
1051,MONAHANS 1 4,Far West,1,Closed,YES,89.15,26.82,89.4,Cubic,734.1,0,4.691,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,26.82,17.56,39.34,17.6,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4574179421805
1052,MONAHANS 1 5,Far West,1,Closed,YES,89.15,26.82,89.4,Cubic,734.1,0,4.691,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,26.82,17.56,39.34,17.6,51.85,17.64,64.37,17.67,76.88,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4574179421805
1053,MONAHANS 1 6,Far West,1,Open,YES,0.0,53.64,178.8,Cubic,868.2,0,4.811,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,53.64,18.11,78.67,18.18,103.7,18.25,128.74,18.33,153.77,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7479666936021
1057,LENORAH 1,Far West,1,Open,NO,0.0,36.0,120.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,36.0,0.0,52.8,0.0,69.6,0.0,86.4,0.0,103.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1059,IRAAN 3 1,Far West,1,Open,YES,0.0,1.68,5.6,Cubic,608.4,0,4.579,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,1.68,17.05,2.46,17.05,3.25,17.06,4.03,17.06,4.82,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1837125971837
1060,IRAAN 3 2,Far West,1,Open,YES,0.0,0.6,2.0,Cubic,603.0,0,4.574,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,0.6,17.03,0.88,17.03,1.16,17.03,1.44,17.03,1.72,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.171080042365101
1062,BIG SPRING 6 1,Far West,1,Open,NO,0.0,0.45,1.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,SUN (Solar),PV (Photovoltaic),0,1,0.45,0.0,0.66,0.0,0.87,0.0,1.08,0.0,1.29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1063,BIG SPRING 6 2,Far West,1,Open,NO,0.0,69.0,230.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,SUN (Solar),PV (Photovoltaic),0,1,69.0,0.0,101.2,0.0,133.4,0.0,165.6,0.0,197.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1066,BIG SPRING 3 1,Far West,1,Closed,NO,106.88,42.75,142.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,42.75,0.0,62.7,0.0,82.65,0.0,102.6,0.0,122.55,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1070,IRAAN 1 1,Far West,1,Closed,NO,120.38,48.15,160.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,48.15,0.0,70.62,0.0,93.09,0.0,115.56,0.0,138.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1072,ODESSA 1 1,Far West,1,Closed,YES,191.59,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1073,ODESSA 1 2,Far West,1,Closed,YES,191.59,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1074,ODESSA 1 3,Far West,1,Closed,YES,191.59,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1075,ODESSA 1 4,Far West,1,Closed,YES,191.59,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1076,ODESSA 1 5,Far West,1,Open,YES,0.0,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1077,ODESSA 1 6,Far West,1,Open,YES,0.0,57.64,192.13,Cubic,888.2,0,4.829,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,57.64,18.19,84.54,18.27,111.44,18.34,138.33,18.42,165.23,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.790075208096401
1078,ODESSA 1 7,Far West,1,Closed,YES,95.23,28.65,95.5,Cubic,743.25,0,4.699,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,28.65,17.6,42.02,17.64,55.39,17.68,68.76,17.72,82.13,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.478472200211501
1079,ODESSA 1 8,Far West,1,Closed,YES,95.23,28.65,95.5,Cubic,743.25,0,4.699,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,28.65,17.6,42.02,17.64,55.39,17.68,68.76,17.72,82.13,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.478472200211501
1080,ODESSA 1 9,Far West,1,Closed,YES,95.23,28.65,95.5,Cubic,743.25,0,4.699,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,28.65,17.6,42.02,17.64,55.39,17.68,68.76,17.72,82.13,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.478472200211501
1081,ODESSA 1 10,Far West,1,Open,YES,0.0,85.95,286.5,Cubic,1029.75,0,4.955,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,85.95,18.76,126.06,18.88,166.17,19.0,206.28,19.11,246.39,19.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0974673643751
1082,FORT STOCKTON 2 0,Far West,1,Closed,NO,112.5,45.0,150.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,45.0,0.0,66.0,0.0,87.0,0.0,108.0,0.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1084,BIG SPRING 2 0,Far West,1,Closed,NO,86.62,34.65,115.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,34.65,0.0,50.82,0.0,66.99,0.0,83.16,0.0,99.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1088,MCCAMEY 2 0,Far West,1,Closed,NO,56.25,22.5,75.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,22.5,0.0,33.0,0.0,43.5,0.0,54.0,0.0,64.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1090,GOLDSMITH 0,Far West,1,Closed,NO,114.37,45.75,152.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,45.75,0.0,67.1,0.0,88.45,0.0,109.8,0.0,131.15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1090,GOLDSMITH 0,Far West,2,Closed,NO,27.0,10.8,36.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,10.8,0.0,15.84,0.0,20.88,0.0,25.92,0.0,30.96,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2004,SAVOY 2,North,1,Open,YES,0.0,117.54,391.8,Cubic,1187.7,0,5.096,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,117.54,28.11,172.39,28.35,227.24,28.58,282.1,28.81,336.95,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4414615390645
2005,SAVOY 3,North,1,Open,YES,0.0,117.54,391.8,Cubic,1187.7,0,5.096,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,117.54,28.11,172.39,28.35,227.24,28.58,282.1,28.81,336.95,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4414615390645
2006,SAVOY 4,North,1,Open,YES,0.0,117.54,391.8,Cubic,1187.7,0,5.096,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,117.54,28.11,172.39,28.35,227.24,28.58,282.1,28.81,336.95,29.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4414615390645
2013,PANHANDLE 2 2,North,1,Closed,NO,150.45,60.18,200.6,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,60.18,0.0,88.26,0.0,116.35,0.0,144.43,0.0,172.52,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2019,PANHANDLE 4 2,North,1,Open,NO,0.0,65.4,218.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,65.4,0.0,95.92,0.0,126.44,0.0,156.96,0.0,187.48,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023,PARIS 2 2,North,1,Closed,YES,83.1,25.0,83.33,Cubic,724.99,0,4.683,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,25.0,17.08,36.67,17.11,48.33,17.14,60.0,17.18,71.66,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.436636438866301
2024,PARIS 2 3,North,1,Closed,YES,166.2,50.0,166.67,Cubic,850.01,0,4.794,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,50.0,17.57,73.33,17.64,96.67,17.71,120.0,17.77,143.34,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.708866593840101
2042,PANHANDLE 3 1,North,1,Closed,NO,59.7,23.88,79.6,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,23.88,0.0,35.02,0.0,46.17,0.0,57.31,0.0,68.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2056,WICHITA FALLS 1 2,North,1,Open,YES,0.0,1.8,6.0,Cubic,236.16,0,8.017,0.0008,0,2.154,0,BIT (Bituminous Coal),ST (Steam Turbine),0,1,1.8,17.28,2.64,17.28,3.48,17.28,4.32,17.29,5.16,17.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.849038997096
2057,WICHITA FALLS 1 3,North,1,Closed,YES,573.57,216.0,720.0,Cubic,1398.51,0,8.017,0.0008,0,2.154,0,BIT (Bituminous Coal),ST (Steam Turbine),0,1,216.0,18.24,316.8,18.6,417.6,18.97,518.4,19.34,619.2,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.221866295554001
2059,WHITE DEER 1,North,1,Closed,NO,60.0,24.0,80.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,24.0,0.0,35.2,0.0,46.4,0.0,57.6,0.0,68.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2062,VERNON 1 1,North,1,Closed,NO,101.55,40.62,135.4,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,40.62,0.0,59.58,0.0,78.53,0.0,97.49,0.0,116.44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2071,ARCHER 2 1,North,1,Closed,NO,112.5,45.0,150.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,45.0,0.0,66.0,0.0,87.0,0.0,108.0,0.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2076,JAYTON 3,North,1,Closed,NO,22.5,9.0,30.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,9.0,0.0,13.2,0.0,17.4,0.0,21.6,0.0,25.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2078,MUENSTER 1 1,North,1,Closed,NO,84.38,33.75,112.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,33.75,0.0,49.5,0.0,65.25,0.0,81.0,0.0,96.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2083,WICHITA FALLS 2 1,North,1,Closed,YES,19.94,6.0,20.0,Cubic,630.0,0,4.598,0.0004,0,3.487,0,NG (Natural Gas),GT (Gas Turbine),0,1,6.0,16.05,8.8,16.06,11.6,16.07,14.4,16.08,17.2,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229313450317101
2084,WICHITA FALLS 2 2,North,1,Open,YES,0.0,6.0,20.0,Cubic,630.0,0,4.598,0.0004,0,3.487,0,NG (Natural Gas),GT (Gas Turbine),0,1,6.0,16.05,8.8,16.06,11.6,16.07,14.4,16.08,17.2,16.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.229313450317101
2085,WICHITA FALLS 2 3,North,1,Open,YES,0.0,12.0,40.0,Cubic,660.0,0,4.625,0.0004,0,3.487,0,NG (Natural Gas),GT (Gas Turbine),0,1,12.0,16.17,17.6,16.18,23.2,16.2,28.8,16.21,34.4,16.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2967510758011
2089,ARCHER 1 1,North,1,Closed,NO,50.7,20.28,67.6,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,20.28,0.0,29.74,0.0,39.21,0.0,48.67,0.0,58.14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2094,PANHANDLE 5 1,North,1,Open,NO,0.0,3.0,10.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,3.0,0.0,4.4,0.0,5.8,0.0,7.2,0.0,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2095,PANHANDLE 5 2,North,1,Open,NO,0.0,23.85,79.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,23.85,0.0,34.98,0.0,46.11,0.0,57.24,0.0,68.37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2099,RALLS 1 3,North,1,Closed,NO,7.5,3.0,10.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,3.0,0.0,4.4,0.0,5.8,0.0,7.2,0.0,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2100,RALLS 1 4,North,1,Closed,NO,112.5,45.0,150.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,45.0,0.0,66.0,0.0,87.0,0.0,108.0,0.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2103,SHERMAN 1 2,North,1,Open,YES,0.0,80.32,267.73,Cubic,1001.59,0,4.93,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,80.32,27.02,117.8,27.18,155.29,27.34,192.77,27.5,230.25,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0375499534632
2104,SHERMAN 1 3,North,1,Open,YES,0.0,80.32,267.73,Cubic,1001.59,0,4.93,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,80.32,27.02,117.8,27.18,155.29,27.34,192.77,27.5,230.25,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0375499534632
2105,SHERMAN 1 4,North,1,Open,YES,0.0,80.32,267.73,Cubic,1001.59,0,4.93,0.0004,0,5.395,0,NG (Natural Gas),GT (Gas Turbine),0,1,80.32,27.02,117.8,27.18,155.29,27.34,192.77,27.5,230.25,27.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0375499534632
2115,PARIS 1 2,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2116,PARIS 1 3,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2117,PARIS 1 4,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2118,PARIS 1 5,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2119,PARIS 1 6,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2120,PARIS 1 7,North,1,Closed,YES,184.2,55.41,184.72,Cubic,877.08,0,4.819,0.0004,0,3.628,0,NG (Natural Gas),GT (Gas Turbine),0,1,55.41,17.68,81.27,17.75,107.13,17.83,133.0,17.9,158.86,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7650410692679
2123,PANHANDLE 1 0,North,1,Closed,NO,136.28,54.51,181.7,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,54.51,0.0,79.95,0.0,105.39,0.0,130.82,0.0,156.26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2127,MIAMI 0,North,1,Closed,NO,216.45,86.58,288.6,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,86.6,0.0,127.0,0.0,167.4,0.0,207.8,0.0,248.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3004,SWEETWATER 4 1,West,1,Closed,NO,28.13,11.25,37.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,11.25,0.0,16.5,0.0,21.75,0.0,27.0,0.0,32.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3017,BLACKWELL 1,West,1,Closed,NO,127.13,50.85,169.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,50.85,0.0,74.58,0.0,98.31,0.0,122.04,0.0,145.77,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
3020,CHRISTOVAL 2,West,1,Closed,NO,112.5,45.0,150.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,45.0,0.0,66.0,0.0,87.0,0.0,108.0,0.0,129.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
